Date,f15_Meeker_Combined_maxt,f15_Meeker_Combined_mint,f15_Meeker_Combined_pcpn,f15_Meeker_Combined_snow
2003-06,77.4,41.6,1.63,0
2003-07,93.5,50.3,0.45,0
2003-08,87.5,51.6,0.94,0
2003-09,74.7,38,1.6,0
2003-10,71.1,29.9,0.33,2.5
2003-11,42.5,19.3,1.99,13.2
2003-12,37.1,13.9,1.83,13.8
2004-01,35.8,8.9,0.55,8.1
2004-02,36,11.7,0.76,7.7
2004-03,58.1,25,0.45,0.7
2004-04,61.3,32.3,2.44,0.5
2004-05,69.6,37.9,1.35,0
2004-06,79.7,43.1,0.66,0
2004-07,86.2,47.9,0.72,0
2004-08,82.2,46.1,0.91,0
2004-09,72.7,41.7,2.13,0
2004-10,60.2,33.4,1.3,0.5
2004-11,45.9,22,1.84,16.4
2004-12,36.8,12.9,0.14,3.2
2005-01,42.7,19.9,1.7,12
2005-02,42.6,18.2,1.12,10.6
2005-03,50,22.1,2.12,14.9
2005-04,59.9,29,1.35,3.3
2005-05,68.9,36.3,1.52,0
2005-06,73.3,42.7,3,0
2005-07,89.3,48.1,0.35,0
2005-08,82.3,48,1.48,0
2005-09,74.9,39,2.46,0
2005-10,64.4,33.5,2.17,0
2005-11,50.3,23,1.39,4
2005-12,34.7,9.7,0.96,8.6
2006-01,39.4,14.1,1.42,16.5
2006-02,38.2,9.2,0.86,8.7
2006-03,47.3,21.3,2.33,22.5
2006-04,62.7,30.2,0.67,1.6
2006-05,73.9,37.1,0.54,0
2006-06,84.2,43.7,0.04,0
2006-07,88.3,53.2,1.18,0
2006-08,82.1,48.6,2.57,0
2006-09,69,37.9,3.5,0
2006-10,57.2,30.6,4.02,6.9
2006-11,50.5,21,1.16,13.3
2006-12,32.8,8.9,0.94,15.1
2007-01,26.4,-3,1.35,19.6
2007-02,41,16.8,1.37,12.8
2007-03,52.7,24.1,0.98,1.1
2007-04,59.6,26.5,0.84,0.8
2007-05,69.1,29.7,1.23,0
2007-06,80.9,24.7,0.11,0
2007-07,88.2,47,0.98,0
2007-08,83.1,47.7,2.67,0
2007-09,74.4,38,3.86,0.5
2007-10,60.9,26.8,2.23,6.2
2007-11,53.5,15.5,0.23,3.7
2007-12,29.5,3.7,3.12,26.3
2008-01,26.4,-3.8,1.83,24.8
2008-02,33.7,6.8,0.97,15.4
2008-03,42.4,13.5,1.08,12.3
2008-04,52.5,21.6,1.63,11
2008-05,62.7,31.4,2.13,7.3
2008-06,75.1,38,0.89,0
2008-07,85.2,45.3,0.46,0
2008-08,82.3,42.7,1.44,0
2008-09,73.4,34.2,2.18,0
2008-10,63.5,22.7,0.56,0
2008-11,50.2,19.4,1.35,6.4
2008-12,35.8,9.5,0.95,13.6
2009-01,33.4,5.2,1.77,6.4
2009-02,43.2,16.2,0.42,4.7
2009-03,49.4,17.7,1.8,21.4
2009-04,53.3,24.7,1.8,11.9
2009-05,68.3,33.2,1.25,0
2009-06,72.4,40.8,2.23,0
2009-07,84,43.5,0.18,0
2009-08,82,41.1,0.23,0
2009-09,75.8,36.2,2.14,0
2009-10,55.3,23.5,0.98,7.5
2009-11,49.2,14.4,0.85,7.1
2009-12,27,-2.2,0.85,12.1
2010-01,30.4,0.7,0.43,8.1
2010-02,31.7,2.6,0.18,2.6
2010-03,44.5,16.2,0.8,12
2010-04,55.7,26.1,3.41,13.6
2010-05,62,30.2,0.97,4.4
2010-06,77.9,40.2,0.89,0
2010-07,84.6,45.4,1,0
2010-08,80.6,44.5,1.84,0
2010-09,77.8,32.2,0.56,0
2010-10,63.5,26.9,0.61,1.7
2010-11,44.1,17.1,1.61,15.4
2010-12,38.4,14.9,0.79,8.5
2011-01,28.3,-1.2,0.5,7.8
2011-02,30.6,1.9,1.21,18.9
2011-03,46.8,20,1.83,21
2011-04,52.2,27.6,2.71,4.8
2011-05,60.1,31.6,2.68,0
2011-06,75.6,38.6,0.53,0
2011-07,80.9,47.5,2.67,0
2011-08,83.6,43.5,1.22,0
2011-09,74.9,36.5,2.21,0
2011-10,61.8,24.9,1.44,0.3
2011-11,47.3,17.2,1.11,8.3
2011-12,37.6,6.5,0.18,3.1
2012-01,41.3,5.6,0.64,8.1
2012-02,38.6,11.7,1.64,15.9
2012-03,54.5,19.2,0.45,6
2012-04,63.8,27.1,1.28,0.8
2012-05,71.3,31.7,0.63,0
2012-06,84.1,39.6,0,0
2012-07,85.3,48,1.14,0
2012-08,84.1,44.2,0.42,0
2012-09,75.9,34.7,0.69,0
2012-10,62,24.1,0.97,1.7
2012-11,54.6,17.4,0.44,2.5
2012-12,33.9,7.2,1.96,24.6
2013-01,23,-7.4,0.72,8
2013-02,34.2,4.3,0.47,6
2013-03,47.6,18,0.36,2.3
2013-04,52.6,22.2,2.98,15.1
2013-05,67.2,32.4,2.11,0.6
2013-06,81.5,37.8,T,0
2013-07,86.3,47.7,0.86,0
2013-08,82.2,44.9,1.6,0
2013-09,73.9,41.6,3.14,0
2013-10,57.5,24.8,3.33,7.3
2013-11,44.7,17.5,1.14,7.7
2013-12,28.2,0.2,1.15,16.4
2014-01,31.9,-0.7,2.03,26.2
2014-02,39.6,11.7,0.67,7.5
2014-03,51.2,21,1.66,6.1
2014-04,56.1,26.3,1.58,3.1
2014-05,66,33.5,1.94,T
2014-06,77.1,37.1,0.57,0
2014-07,85.6,45.7,0.78,0
2014-08,78.3,45.2,3.45,0
2014-09,75.8,36.7,2.62,0
2014-10,64.5,27.4,1.91,0
2014-11,45.7,14.9,1.56,9.7
2014-12,38.2,13.4,1.55,14.3
2015-01,33,5.7,0.79,5.7
2015-02,44.5,16,0.68,4.5
2015-03,56.5,19.9,0.95,6.5
2015-04,57.7,22.8,2.32,4.9
2015-05,62.6,33.8,4.65,0
2015-06,81.8,44.4,1.1,0
2015-07,81.5,44.8,1.67,0
2015-08,84.2,43,0.8,0
2015-09,78.7,36.9,0.8,0
2015-10,68.4,29.2,1.19,0
2015-11,47,17.7,1.85,17.9
2015-12,30.8,2.9,2.12,31.4
2016-01,27.8,-0.9,1.66,23.6
2016-02,38.1,7,0.74,11.6
2016-03,49.8,22,1.14,12.5
2016-04,57,28.2,1.96,4.8
2016-05,64.9,33.2,3.06,0
2016-06,83.1,40.9,0.27,0
2016-07,84.1,43.7,1.41,0
2016-08,81.5,40.5,0.3,0
2016-09,75.4,35.8,1.08,0
2016-10,68,28.1,0.86,0
2016-11,54.4,18.4,1.41,10.3
2016-12,34.6,8,1.34,13.6
2017-01,32,7,1.83,25.3
2017-02,46,21.7,0.97,7.5
2017-03,56.9,23.8,0.63,0.7
2017-04,57.8,25.5,2.11,T
2017-05,65.8,31.9,1.85,4.8
2017-06,82.2,40.1,0.82,0
2017-07,86,47.4,1.65,0
2017-08,82,42.4,1.31,0
2017-09,74.9,35.9,1.08,0
2017-10,60.6,21.4,2.61,5.5
2017-11,55.7,20.8,0.66,1.7
2017-12,44.7,8.6,0.21,3.2
2018-01,40.8,9,1.35,8.4
2018-02,41.1,14.4,1.34,15.4
2018-03,49.1,22.2,1.92,11.8
2018-04,58.7,26.8,2.34,0.8
2018-05,71.5,33.1,1.19,0
2018-06,82.8,39.1,0.08,0
2018-07,88.2,46.1,0.27,0
2018-08,83.6,43,1.11,0
2018-09,79.5,34.9,0.16,0
2018-10,58.4,27.7,3.34,T
2018-11,44.5,13.5,0.71,5.9
2018-12,32.7,5,1.12,13.9
2019-01,29.8,2.8,1.33,14.6
2019-02,35.1,7.9,1.06,11
2019-03,43,17.4,2.35,14.4
2019-04,59.3,28.4,1.76,5.2
2019-05,61.4,31.8,2.51,2.1
2019-06,75,39.8,2.52,0
2019-07,85.2,44.9,0.66,0
2019-08,85.3,43.1,0.77,0
2019-09,78.2,36.7,1,0
2019-10,56.9,15.9,1.02,7.7
2019-11,50.8,16.1,1.12,11.4
2019-12,36.1,10.6,1.38,12.3
2020-01,33.4,3.5,1.18,18.4
2020-02,34,3.3,0.96,15
2020-03,49.2,22.9,1.31,5.9
2020-04,58.2,23.1,0.79,5.1
2020-05,71.9,32.5,0.72,0
2020-06,79.7,41.3,0.91,0
2020-07,85.8,44.6,0.59,0
2020-08,89.5,42.5,0.23,0
2020-09,76.4,33.4,1.44,3.4
2020-10,63.3,18.3,0.91,7.8
2020-11,51.3,18.2,0.89,8
2020-12,35.7,2.5,1.02,15.2
2021-01,33.2,2.1,0.9,13.3
