
Data Source:  https://wcc.sc.egov.usda.gov/nwcc/tabget?state=CO
#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 825: Tower, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tower (825) 
# Colorado  SNOTEL Site - 10500 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 9, 2021 12:46:31 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1979-10-31,1.1,2.7,,,,0.00
1979-11-01,1.1,2.7,,,,0.00
1979-11-02,1.3,2.7,,,,0.20
1979-11-03,1.3,2.9,,,,0.00
1979-11-04,1.5,2.9,,,,0.00
1979-11-05,1.6,2.9,,,,0.00
1979-11-06,1.7,2.9,,,,0.00
1979-11-07,1.8,2.9,,,,0.00
1979-11-08,1.9,2.9,,,,0.10
1979-11-09,2.0,3.0,,,,0.40
1979-11-10,2.4,3.4,,,,0.40
1979-11-11,2.8,3.8,,,,0.40
1979-11-12,3.2,4.2,,,,0.00
1979-11-13,3.2,4.2,,,,0.00
1979-11-14,3.2,4.2,,,,0.00
1979-11-15,3.2,4.2,,,,0.00
1979-11-16,3.2,4.2,,,,0.00
1979-11-17,3.2,4.2,,,,0.00
1979-11-18,3.2,4.2,,,,0.00
1979-11-19,3.8,4.2,,,,0.60
1979-11-20,4.7,4.8,,,,0.30
1979-11-21,4.8,5.1,,,,0.40
1979-11-22,4.9,5.5,,,,0.30
1979-11-23,5.0,5.8,,,,0.20
1979-11-24,5.3,6.0,,,,0.70
1979-11-25,6.2,6.7,,,,0.90
1979-11-26,7.2,7.6,,,,0.30
1979-11-27,9.0,7.9,,,,0.00
1979-11-28,9.4,7.9,,,,0.00
1979-11-29,9.6,7.9,,,,0.00
1979-11-30,9.6,7.9,,,,0.40
1979-12-01,9.7,8.3,,,,0.30
1979-12-02,9.7,8.6,,,,0.10
1979-12-03,10.1,8.7,,,,0.00
1979-12-04,10.1,8.7,,,,0.00
1979-12-05,10.1,8.7,,,,0.40
1979-12-06,10.5,9.1,,,,0.30
1979-12-07,10.5,9.4,,,,0.00
1979-12-08,10.9,9.4,,,,0.00
1979-12-09,11.0,9.4,,,,0.00
1979-12-10,11.2,9.4,,,,0.00
1979-12-11,11.5,9.4,,,,0.00
1979-12-12,11.8,9.4,,,,0.00
1979-12-13,11.9,9.4,,,,0.00
1979-12-14,11.9,9.4,,,,0.00
1979-12-15,11.9,9.4,,,,0.00
1979-12-16,11.9,9.4,,,,0.00
1979-12-17,11.9,9.4,,,,0.00
1979-12-18,11.9,9.4,,,,0.00
1979-12-19,11.9,9.4,,,,0.20
1979-12-20,11.9,9.6,,,,0.20
1979-12-21,11.9,9.8,,,,0.10
1979-12-22,11.9,9.9,,,,0.00
1979-12-23,11.9,9.9,,,,0.10
1979-12-24,11.9,10.0,,,,0.20
1979-12-25,12.0,10.2,,,,0.10
1979-12-26,12.0,10.3,,,,0.00
1979-12-27,12.0,10.3,,,,0.40
1979-12-28,12.0,10.7,,,,0.00
1979-12-29,12.0,10.7,,,,0.00
1979-12-30,12.0,10.7,,,,0.00
1979-12-31,12.0,10.7,,,,0.00
1980-01-01,12.0,10.7,,,,0.00
1980-01-02,12.0,10.7,,,,0.00
1980-01-03,12.0,10.7,,,,1.70
1980-01-04,13.4,12.4,,,,0.10
1980-01-05,13.9,12.5,,,,0.00
1980-01-06,14.3,12.5,,,,0.60
1980-01-07,14.3,13.1,,,,0.70
1980-01-08,14.8,13.8,,,,1.00
1980-01-09,16.3,14.8,,,,0.40
1980-01-10,17.1,15.2,,,,0.00
1980-01-11,17.3,15.2,,,,1.10
1980-01-12,18.3,16.3,,,,2.20
1980-01-13,20.3,18.5,,,,0.00
1980-01-14,20.3,18.5,,,,1.80
1980-01-15,22.6,20.3,,,,0.20
1980-01-16,22.8,20.5,,,,0.10
1980-01-17,23.1,20.6,,,,0.00
1980-01-18,23.5,20.6,,,,0.00
1980-01-19,23.5,20.6,,,,0.00
1980-01-20,23.5,20.6,,,,0.00
1980-01-21,23.8,20.6,,,,0.00
1980-01-22,24.1,20.6,,,,0.00
1980-01-23,24.1,20.6,,,,0.50
1980-01-24,24.3,21.1,,,,0.00
1980-01-25,24.8,21.1,,,,0.40
1980-01-26,25.3,21.5,,,,0.60
1980-01-27,26.5,22.1,,,,0.20
1980-01-28,27.1,22.3,,,,1.00
1980-01-29,28.2,23.3,,,,1.20
1980-01-30,29.4,24.5,,,,0.00
1980-01-31,29.8,24.5,,,,0.00
1980-02-01,29.8,24.5,,,,0.00
1980-02-02,30.0,24.5,,,,0.00
1980-02-03,30.0,24.5,,,,0.60
1980-02-04,30.6,25.1,,,,0.00
1980-02-05,30.9,25.1,,,,0.00
1980-02-06,30.9,25.1,,,,0.00
1980-02-07,31.1,25.1,,,,0.00
1980-02-08,31.3,25.1,,,,0.20
1980-02-09,31.3,25.3,,,,0.00
1980-02-10,31.3,25.3,,,,0.00
1980-02-11,31.3,25.3,,,,0.00
1980-02-12,31.3,25.3,,,,0.00
1980-02-13,31.3,25.3,,,,0.40
1980-02-14,31.3,25.7,,,,0.70
1980-02-15,32.5,26.4,,,,0.60
1980-02-16,33.6,27.0,,,,0.10
1980-02-17,33.7,27.1,,,,1.40
1980-02-18,35.4,28.5,,,,0.90
1980-02-19,36.3,29.4,,,,0.30
1980-02-20,36.5,29.7,,,,0.90
1980-02-21,37.7,30.6,,,,0.60
1980-02-22,38.2,31.2,,,,0.50
1980-02-23,39.2,31.7,,,,0.30
1980-02-24,39.4,32.0,,,,0.10
1980-02-25,39.6,32.1,,,,0.10
1980-02-26,39.6,32.2,,,,0.00
1980-02-27,39.6,32.2,,,,0.20
1980-02-28,39.6,32.4,,,,1.00
1980-02-29,39.6,33.4,,,,0.00
1980-03-01,40.1,33.4,,,,0.00
1980-03-02,40.1,33.4,,,,0.00
1980-03-03,40.8,33.4,,,,0.20
1980-03-04,41.9,33.6,,,,0.00
1980-03-05,41.9,33.6,,,,0.50
1980-03-06,44.0,34.1,,,,0.50
1980-03-07,44.6,34.6,,,,0.00
1980-03-08,45.4,34.6,,,,0.00
1980-03-09,45.9,34.6,,,,0.00
1980-03-10,46.2,34.6,,,,0.00
1980-03-11,46.2,34.6,,,,0.00
1980-03-12,46.6,34.6,,,,0.00
1980-03-13,47.8,34.6,,,,0.00
1980-03-14,47.9,34.6,,,,0.20
1980-03-15,48.0,34.8,,,,0.10
1980-03-16,48.6,34.9,,,,0.20
1980-03-17,49.0,35.1,,,,0.00
1980-03-18,49.0,35.1,,,,0.00
1980-03-19,49.2,35.1,,,,0.20
1980-03-20,49.3,35.3,,,,0.20
1980-03-21,49.4,35.5,,,,0.10
1980-03-22,49.5,35.6,,,,0.00
1980-03-23,49.5,35.6,,,,0.10
1980-03-24,49.6,35.7,,,,0.30
1980-03-25,49.9,36.0,,,,0.20
1980-03-26,50.2,36.2,,,,0.20
1980-03-27,50.4,36.4,,,,0.10
1980-03-28,50.5,36.5,,,,0.20
1980-03-29,50.7,36.7,,,,0.30
1980-03-30,51.0,37.0,,,,0.20
1980-03-31,51.2,37.2,,,,0.40
1980-04-01,51.6,37.6,,,,0.40
1980-04-02,52.0,38.0,,,,0.90
1980-04-03,52.9,38.9,,,,0.00
1980-04-04,52.9,38.9,,,,0.50
1980-04-05,53.3,39.4,,,,0.00
1980-04-06,53.3,39.4,,,,0.50
1980-04-07,54.8,39.9,,,,0.00
1980-04-08,54.8,39.9,,,,0.50
1980-04-09,55.1,40.4,,,,0.00
1980-04-10,55.1,40.4,,,,1.20
1980-04-11,56.3,41.6,,,,0.20
1980-04-12,56.5,41.8,,,,0.10
1980-04-13,56.6,41.9,,,,0.00
1980-04-14,56.6,41.9,,,,0.00
1980-04-15,56.6,41.9,,,,0.20
1980-04-16,56.8,42.1,,,,0.00
1980-04-17,56.8,42.1,,,,0.10
1980-04-18,56.9,42.2,,,,0.00
1980-04-19,56.9,42.2,,,,0.00
1980-04-20,56.9,42.2,,,,0.80
1980-04-21,56.7,43.0,,,,0.50
1980-04-22,56.4,43.5,,,,0.80
1980-04-23,56.1,44.3,,,,1.00
1980-04-24,55.9,45.3,,,,1.30
1980-04-25,55.9,46.6,,,,0.00
1980-04-26,55.9,46.6,,,,0.40
1980-04-27,55.8,47.0,,,,0.20
1980-04-28,55.5,47.2,,,,0.00
1980-04-29,54.9,47.2,,,,0.00
1980-04-30,54.7,47.2,,,,0.40
1980-05-01,54.9,47.6,,,,0.20
1980-05-02,55.1,47.8,,,,0.00
1980-05-03,55.1,47.8,,,,0.00
1980-05-04,55.1,47.8,,,,0.20
1980-05-05,54.8,48.0,,,,0.90
1980-05-06,54.5,48.9,,,,0.00
1980-05-07,54.5,48.9,,,,0.00
1980-05-08,54.0,48.9,,,,0.60
1980-05-09,54.6,49.5,,,,0.70
1980-05-10,55.4,50.2,,,,0.70
1980-05-11,56.1,50.9,,,,0.50
1980-05-12,57.6,51.4,,,,0.90
1980-05-13,58.5,52.3,,,,0.00
1980-05-14,58.5,52.3,,,,0.40
1980-05-15,58.9,52.7,,,,0.30
1980-05-16,59.2,53.0,,,,0.30
1980-05-17,59.5,53.3,,,,0.20
1980-05-18,59.7,53.5,,,,0.00
1980-05-19,59.8,53.5,,,,0.00
1980-05-20,59.7,53.5,,,,0.00
1980-05-21,58.0,53.5,,,,0.00
1980-05-22,58.0,53.5,,,,0.00
1980-05-23,54.5,53.5,,,,0.00
1980-05-24,52.7,53.5,,,,0.00
1980-05-25,51.7,53.5,,,,0.00
1980-05-26,51.5,53.5,,,,0.00
1980-05-27,51.3,53.5,,,,0.00
1980-05-28,51.3,53.5,,,,0.00
1980-05-29,49.8,53.5,,,,0.00
1980-05-30,49.7,53.5,,,,0.00
1980-05-31,49.4,53.5,,,,0.00
1980-06-01,48.8,53.5,,,,0.00
1980-06-02,48.8,53.5,,,,0.00
1980-06-03,48.2,53.5,,,,0.00
1980-06-04,46.7,53.5,,,,0.00
1980-06-05,45.2,53.5,,,,0.00
1980-06-06,44.7,53.5,,,,0.00
1980-06-07,43.5,53.5,,,,0.00
1980-06-08,42.5,53.5,,,,0.00
1980-06-09,41.6,53.5,,,,0.00
1980-06-10,39.9,53.5,,,,0.00
1980-06-11,38.6,53.5,,,,0.00
1980-06-12,36.8,53.5,,,,0.00
1980-06-13,35.2,53.5,,,,0.00
1980-06-14,33.9,53.5,,,,0.00
1980-06-15,32.4,53.5,,,,0.00
1980-06-16,31.3,53.5,,,,0.00
1980-06-17,29.9,53.5,,,,0.00
1980-06-18,28.3,53.5,,,,0.00
1980-06-19,26.9,53.5,,,,0.00
1980-06-20,25.7,53.5,,,,0.00
1980-06-21,23.8,53.5,,,,0.00
1980-06-22,22.0,53.5,,,,0.00
1980-06-23,20.3,53.5,,,,0.00
1980-06-24,18.3,53.5,,,,0.00
1980-06-25,16.6,53.5,,,,0.00
1980-06-26,14.3,53.5,,,,0.00
1980-06-27,12.2,53.5,,,,0.00
1980-06-28,10.4,53.5,,,,0.00
1980-06-29,8.2,53.5,,,,0.00
1980-06-30,5.6,53.5,,,,0.00
1980-07-01,1.3,53.5,,,,0.50
1980-07-02,0.0,54.0,,,,0.00
1980-07-03,0.0,54.0,,,,0.20
1980-07-04,0.0,54.2,,,,0.00
1980-07-05,0.0,54.2,,,,0.00
1980-07-06,0.0,54.2,,,,0.00
1980-07-07,0.0,54.2,,,,0.40
1980-07-08,0.0,54.6,,,,0.00
1980-07-09,0.0,54.6,,,,0.00
1980-07-10,0.0,54.6,,,,0.00
1980-07-11,0.0,54.6,,,,0.00
1980-07-12,0.0,54.6,,,,0.20
1980-07-13,0.0,54.8,,,,0.00
1980-07-14,0.0,54.8,,,,0.00
1980-07-15,0.0,54.8,,,,0.00
1980-07-16,0.0,54.8,,,,0.00
1980-07-17,0.0,54.8,,,,0.00
1980-07-18,0.0,54.8,,,,0.00
1980-07-19,0.0,54.8,,,,0.00
1980-07-20,0.0,54.8,,,,1.50
1980-07-21,0.0,56.3,,,,0.00
1980-07-22,0.0,56.3,,,,0.00
1980-07-23,0.0,56.3,,,,0.00
1980-07-24,0.0,56.3,,,,0.10
1980-07-25,0.0,56.4,,,,0.00
1980-07-26,0.0,56.4,,,,0.00
1980-07-27,0.0,56.4,,,,0.20
1980-07-28,0.0,56.6,,,,0.00
1980-07-29,0.0,56.6,,,,0.00
1980-07-30,0.0,56.6,,,,0.10
1980-07-31,0.0,56.7,,,,0.00
1980-08-01,0.0,56.7,,,,0.00
1980-08-02,0.0,56.7,,,,0.00
1980-08-03,0.0,56.7,,,,0.00
1980-08-04,0.0,56.7,,,,0.00
1980-08-05,0.0,56.7,,,,0.10
1980-08-06,0.0,56.8,,,,0.00
1980-08-07,0.0,56.8,,,,0.00
1980-08-08,0.0,56.8,,,,0.00
1980-08-09,0.0,56.8,,,,0.00
1980-08-10,0.0,56.8,,,,0.00
1980-08-11,0.0,56.8,,,,0.00
1980-08-12,0.0,56.8,,,,0.00
1980-08-13,0.0,56.8,,,,0.00
1980-08-14,0.0,56.8,,,,0.30
1980-08-15,0.0,57.1,,,,0.40
1980-08-16,0.0,57.5,,,,0.00
1980-08-17,0.0,57.5,,,,0.10
1980-08-18,0.0,57.6,,,,0.00
1980-08-19,0.0,57.6,,,,0.10
1980-08-20,0.0,57.7,,,,0.00
1980-08-21,0.0,57.7,,,,0.00
1980-08-22,0.0,57.7,,,,0.20
1980-08-23,0.0,57.9,,,,0.00
1980-08-24,0.0,57.9,,,,0.00
1980-08-25,0.0,57.9,,,,0.20
1980-08-26,0.0,58.1,,,,0.10
1980-08-27,0.0,58.2,,,,0.10
1980-08-28,0.0,58.3,,,,0.00
1980-08-29,0.0,58.3,,,,0.00
1980-08-30,0.0,58.3,,,,0.00
1980-08-31,0.0,58.3,,,,0.00
1980-09-01,0.0,58.3,,,,0.00
1980-09-02,0.0,58.3,,,,0.10
1980-09-03,0.0,58.4,,,,0.00
1980-09-04,0.0,58.4,,,,0.00
1980-09-05,0.0,58.4,,,,0.00
1980-09-06,0.0,58.4,,,,0.00
1980-09-07,0.0,58.4,,,,0.00
1980-09-08,0.0,58.4,,,,0.00
1980-09-09,0.0,58.4,,,,0.60
1980-09-10,0.0,59.0,,,,0.00
1980-09-11,0.0,59.0,,,,0.80
1980-09-12,0.0,59.8,,,,0.50
1980-09-13,0.0,60.3,,,,0.00
1980-09-14,0.0,60.3,,,,0.00
1980-09-15,0.0,60.3,,,,0.00
1980-09-16,0.0,60.3,,,,0.00
1980-09-17,0.0,60.3,,,,0.00
1980-09-18,0.0,60.3,,,,0.10
1980-09-19,0.0,60.4,,,,0.20
1980-09-20,0.0,60.6,,,,0.00
1980-09-21,0.0,60.6,,,,0.00
1980-09-22,0.0,60.6,,,,0.00
1980-09-23,0.0,60.6,,,,0.00
1980-09-24,0.0,60.6,,,,0.00
1980-09-25,0.0,60.6,,,,0.00
1980-09-26,0.0,60.6,,,,0.00
1980-09-27,0.0,60.6,,,,0.00
1980-09-28,0.0,60.6,,,,0.00
1980-09-29,0.0,60.6,,,,0.00
1980-09-30,0.0,60.6,,,,0.00
1980-10-01,0.0,0.0,,,,0.00
1980-10-02,0.0,0.0,,,,0.00
1980-10-03,0.0,0.0,,,,0.00
1980-10-04,0.0,0.0,,,,0.00
1980-10-05,0.0,0.0,,,,0.00
1980-10-06,0.0,0.0,,,,0.00
1980-10-07,0.0,0.0,,,,0.00
1980-10-08,0.0,0.0,,,,0.00
1980-10-09,0.0,0.0,,,,0.00
1980-10-10,0.0,0.0,,,,0.00
1980-10-11,0.0,0.0,,,,0.00
1980-10-12,0.0,0.0,,,,0.30
1980-10-13,0.0,0.3,,,,0.70
1980-10-14,0.0,1.0,,,,0.30
1980-10-15,0.2,1.3,,,,0.40
1980-10-16,0.5,1.7,,,,1.50
1980-10-17,2.1,3.2,,,,0.80
1980-10-18,2.8,4.0,,,,0.10
1980-10-19,2.8,4.1,,,,0.00
1980-10-20,3.1,4.1,,,,0.00
1980-10-21,3.1,4.1,,,,0.00
1980-10-22,3.0,4.1,,,,0.00
1980-10-23,3.0,4.1,,,,0.00
1980-10-24,3.0,4.1,,,,0.00
1980-10-25,3.0,4.1,,,,0.10
1980-10-26,3.1,4.2,,,,0.10
1980-10-27,3.1,4.3,,,,0.10
1980-10-28,3.1,4.4,,,,0.00
1980-10-29,3.1,4.4,,,,0.10
1980-10-30,3.1,4.5,,,,0.00
1980-10-31,3.1,4.5,,,,0.00
1980-11-01,3.1,4.5,,,,0.00
1980-11-02,3.1,4.5,,,,0.00
1980-11-03,3.1,4.5,,,,0.00
1980-11-04,3.1,4.5,,,,0.00
1980-11-05,3.1,4.5,,,,0.00
1980-11-06,3.1,4.5,,,,0.00
1980-11-07,3.1,4.5,,,,0.00
1980-11-08,3.1,4.5,,,,0.00
1980-11-09,3.1,4.5,,,,0.00
1980-11-10,3.1,4.5,,,,0.00
1980-11-11,3.1,4.5,,,,0.00
1980-11-12,3.1,4.5,,,,0.90
1980-11-13,4.0,5.4,,,,0.00
1980-11-14,4.0,5.4,,,,0.00
1980-11-15,4.0,5.4,,,,0.10
1980-11-16,4.0,5.5,,,,0.00
1980-11-17,4.0,5.5,,,,0.10
1980-11-18,4.0,5.6,,,,0.00
1980-11-19,4.0,5.6,,,,0.00
1980-11-20,4.0,5.6,,,,0.10
1980-11-21,4.0,5.7,,,,0.00
1980-11-22,4.0,5.7,,,,0.60
1980-11-23,4.0,6.3,,,,0.00
1980-11-24,4.0,6.3,,,,0.10
1980-11-25,4.0,6.4,,,,0.10
1980-11-26,4.0,6.5,,,,0.00
1980-11-27,4.0,6.5,,,,0.10
1980-11-28,4.4,6.6,,,,0.10
1980-11-29,4.5,6.7,,,,0.00
1980-11-30,4.5,6.7,,,,0.00
1980-12-01,4.5,6.7,,,,0.40
1980-12-02,5.0,7.1,,,,0.00
1980-12-03,5.1,7.1,,,,0.10
1980-12-04,5.1,7.2,,,,0.00
1980-12-05,5.1,7.2,,,,0.20
1980-12-06,5.5,7.4,,,,0.30
1980-12-07,5.8,7.7,,,,0.20
1980-12-08,6.0,7.9,,,,0.00
1980-12-09,6.2,7.9,,,,0.00
1980-12-10,6.2,7.9,,,,0.00
1980-12-11,6.2,7.9,,,,0.00
1980-12-12,6.2,7.9,,,,0.10
1980-12-13,6.2,8.0,,,,0.00
1980-12-14,6.2,8.0,,,,0.00
1980-12-15,6.2,8.0,,,,0.00
1980-12-16,6.2,8.0,,,,0.00
1980-12-17,6.2,8.0,,,,0.00
1980-12-18,6.2,8.0,,,,0.10
1980-12-19,6.2,8.1,,,,0.00
1980-12-20,6.2,8.1,,,,0.00
1980-12-21,6.2,8.1,,,,0.10
1980-12-22,6.2,8.2,,,,0.90
1980-12-23,7.0,9.1,,,,0.40
1980-12-24,7.6,9.5,,,,0.00
1980-12-25,7.8,9.5,,,,0.40
1980-12-26,8.3,9.9,,,,0.10
1980-12-27,8.4,10.0,,,,0.00
1980-12-28,8.6,10.0,,,,0.00
1980-12-29,8.7,10.0,,,,0.00
1980-12-30,8.8,10.0,,,,0.00
1980-12-31,8.8,10.0,,,,0.00
1981-01-01,8.8,10.0,,,,0.00
1981-01-02,8.8,10.0,,,,0.00
1981-01-03,8.8,10.0,,,,0.00
1981-01-04,8.8,10.0,,,,0.20
1981-01-05,8.8,10.2,,,,0.00
1981-01-06,8.8,10.2,,,,0.00
1981-01-07,8.8,10.2,,,,0.00
1981-01-08,8.8,10.2,,,,0.10
1981-01-09,8.8,10.3,,,,0.00
1981-01-10,8.8,10.3,,,,0.00
1981-01-11,8.8,10.3,,,,0.00
1981-01-12,8.8,10.3,,,,0.00
1981-01-13,8.6,10.3,,,,0.00
1981-01-14,8.5,10.3,,,,0.00
1981-01-15,8.4,10.3,,,,0.00
1981-01-16,8.4,10.3,,,,0.10
1981-01-17,8.4,10.4,,,,0.00
1981-01-18,8.4,10.4,,,,0.10
1981-01-19,8.4,10.5,,,,0.00
1981-01-20,8.4,10.5,,,,0.00
1981-01-21,8.4,10.5,,,,0.10
1981-01-22,8.4,10.6,,,,0.00
1981-01-23,8.4,10.6,,,,0.00
1981-01-24,8.4,10.6,,,,0.10
1981-01-25,8.4,10.7,,,,0.20
1981-01-26,8.6,10.9,,,,0.20
1981-01-27,8.9,11.1,,,,0.40
1981-01-28,9.0,11.5,,,,0.30
1981-01-29,9.3,11.8,,,,0.20
